image_id,crop_number,ID,step,date,time_utc,datetime,lat,lon,slp,rel_vort_850_smth,image_width_px,image_height_px,png_relative_path,npy_relative_path,source_png_filename,source_png_path,is_matched
Solovieva_PL_crop_00001_ID_120200107090_step_35,1,120200107090,35,2020-01-12,14:00:00,2020-01-12 14:00:00,66.5,-3.0,970.90997,24.22300000000001,512,512,Solovieva_diploma_PL_training_images/png/Solovieva_PL_crop_00001_ID_120200107090_step_35.png,Solovieva_diploma_PL_training_images/npy/Solovieva_PL_crop_00001_ID_120200107090_step_35.npy,crop_00001_ID_120200107090_step_35_a8fb589c6a.png,/content/drive/MyDrive/sentinel3/SLSTR/ml_manual_crops_010526/png/crop_00001_ID_120200107090_step_35_a8fb589c6a.png,True
Solovieva_PL_crop_00004_ID_120200107090_step_35,4,120200107090,35,2020-01-12,14:00:00,2020-01-12 14:00:00,66.5,-3.0,970.90997,24.22300000000001,512,512,Solovieva_diploma_PL_training_images/png/Solovieva_PL_crop_00004_ID_120200107090_step_35.png,Solovieva_diploma_PL_training_images/npy/Solovieva_PL_crop_00004_ID_120200107090_step_35.npy,crop_00004_ID_120200107090_step_35_a8fb589c6a.png,/content/drive/MyDrive/sentinel3/SLSTR/ml_manual_crops_010526/png/crop_00004_ID_120200107090_step_35_a8fb589c6a.png,True
Solovieva_PL_crop_00004_ID_120200107090_step_36,4,120200107090,36,2020-01-12,15:00:00,2020-01-12 15:00:00,66.75,-2.0,971.16058,25.625,512,512,Solovieva_diploma_PL_training_images/png/Solovieva_PL_crop_00004_ID_120200107090_step_36.png,Solovieva_diploma_PL_training_images/npy/Solovieva_PL_crop_00004_ID_120200107090_step_36.npy,crop_00004_ID_120200107090_step_36_ffab607109.png,/content/drive/MyDrive/sentinel3/SLSTR/ml_manual_crops_010526/png/crop_00004_ID_120200107090_step_36_ffab607109.png,True
Solovieva_PL_crop_00008_ID_120200107090_step_43,8,120200107090,43,2020-01-12,22:00:00,2020-01-12 22:00:00,68.5,2.75,972.1806,28.181999999999995,512,512,Solovieva_diploma_PL_training_images/png/Solovieva_PL_crop_00008_ID_120200107090_step_43.png,Solovieva_diploma_PL_training_images/npy/Solovieva_PL_crop_00008_ID_120200107090_step_43.npy,crop_00008_ID_120200107090_step_43_c1b882af1b.png,/content/drive/MyDrive/sentinel3/SLSTR/ml_manual_crops_010526/png/crop_00008_ID_120200107090_step_43_c1b882af1b.png,True
Solovieva_PL_crop_00009_ID_120200107090_step_44,9,120200107090,44,2020-01-12,23:00:00,2020-01-12 23:00:00,68.5,2.75,973.16125,28.549000000000003,512,512,Solovieva_diploma_PL_training_images/png/Solovieva_PL_crop_00009_ID_120200107090_step_44.png,Solovieva_diploma_PL_training_images/npy/Solovieva_PL_crop_00009_ID_120200107090_step_44.npy,crop_00009_ID_120200107090_step_44_25122e9b84.png,/content/drive/MyDrive/sentinel3/SLSTR/ml_manual_crops_010526/png/crop_00009_ID_120200107090_step_44_25122e9b84.png,True
Solovieva_PL_crop_00005_ID_120200107800_step_13,5,120200107800,13,2020-01-13,00:00:00,2020-01-13 00:00:00,53.0,-34.5,985.44501,15.755999999999998,512,512,Solovieva_diploma_PL_training_images/png/Solovieva_PL_crop_00005_ID_120200107800_step_13.png,Solovieva_diploma_PL_training_images/npy/Solovieva_PL_crop_00005_ID_120200107800_step_13.npy,crop_00005_ID_120200107800_step_13_0dd4e75033.png,/content/drive/MyDrive/sentinel3/SLSTR/ml_manual_crops_010526/png/crop_00005_ID_120200107800_step_13_0dd4e75033.png,True
Solovieva_PL_crop_00006_ID_120200108210_step_13,6,120200108210,13,2020-01-13,15:00:00,2020-01-13 15:00:00,61.0,-35.5,970.08685,29.37,512,512,Solovieva_diploma_PL_training_images/png/Solovieva_PL_crop_00006_ID_120200108210_step_13.png,Solovieva_diploma_PL_training_images/npy/Solovieva_PL_crop_00006_ID_120200108210_step_13.npy,crop_00006_ID_120200108210_step_13_df4e6be14c.png,/content/drive/MyDrive/sentinel3/SLSTR/ml_manual_crops_010526/png/crop_00006_ID_120200108210_step_13_df4e6be14c.png,True
Solovieva_PL_crop_00010_ID_120200108210_step_21,10,120200108210,21,2020-01-13,23:00:00,2020-01-13 23:00:00,57.25,-33.5,971.62933,25.268,512,512,Solovieva_diploma_PL_training_images/png/Solovieva_PL_crop_00010_ID_120200108210_step_21.png,Solovieva_diploma_PL_training_images/npy/Solovieva_PL_crop_00010_ID_120200108210_step_21.npy,crop_00010_ID_120200108210_step_21_fe21f25af1.png,/content/drive/MyDrive/sentinel3/SLSTR/ml_manual_crops_010526/png/crop_00010_ID_120200108210_step_21_fe21f25af1.png,True
Solovieva_PL_crop_00014_ID_120200108210_step_23,14,120200108210,23,2020-01-14,01:00:00,2020-01-14 01:00:00,56.5,-31.75,971.08997,21.249,512,512,Solovieva_diploma_PL_training_images/png/Solovieva_PL_crop_00014_ID_120200108210_step_23.png,Solovieva_diploma_PL_training_images/npy/Solovieva_PL_crop_00014_ID_120200108210_step_23.npy,crop_00014_ID_120200108210_step_23_2183b5ed9e.png,/content/drive/MyDrive/sentinel3/SLSTR/ml_manual_crops_010526/png/crop_00014_ID_120200108210_step_23_2183b5ed9e.png,True
Solovieva_PL_crop_00016_ID_120200109640_step_12,16,120200109640,12,2020-01-15,23:00:00,2020-01-15 23:00:00,54.25,-32.25,992.60809,17.447000000000003,512,512,Solovieva_diploma_PL_training_images/png/Solovieva_PL_crop_00016_ID_120200109640_step_12.png,Solovieva_diploma_PL_training_images/npy/Solovieva_PL_crop_00016_ID_120200109640_step_12.npy,crop_00016_ID_120200109640_step_12_31a78092de.png,/content/drive/MyDrive/sentinel3/SLSTR/ml_manual_crops_010526/png/crop_00016_ID_120200109640_step_12_31a78092de.png,True
